id,name,description
avento,AVENTO 65L alumínio + encosto,"ML R$754,66. Almofada espuma dens. Base. 4.9/224 +500. https://www.mercadolivre.com.br/bau-de-moto-65l-bau-aluminio-com-encosto-acomodar-2capacetes-bau-para-motocicleta-prova-dagua-com-adesivos-bau-para-moto-com-suporte/p/MLB60955366"
rovik,ROVIK 65L kit base+encosto,"ML R$883,93. Alumínio, base+encosto, 65L. https://www.mercadolivre.com.br/bau-traseiro-65l-moto-kit-completo-top-case-base--encosto-ideal-big-trail/up/MLBU4674190057"
tronos,Tronos 65L alumínio preto,ML R$899 promo. 4.7/166. Loja oficial. 60cm profundidade. https://www.mercadolivre.com.br/bau-de-moto-tronos-traseiro-65-litros-aluminio-2-capacetes-cor-preto/p/MLB63816242
