id,name,description
apto_209,Apto 209 Ponta Negra Beach,"Park GRÁTIS + piscina; Booking R$420; 9,5 loc 9,8"
economy_apart,Economy Apart,"Estacionamento privativo GRÁTIS; Booking R$271; 8,5"
macarena,Macarena Flat Ponta Negra,"Park GRÁTIS; Booking R$360; 9,1 loc 9,5"
mar_e_brisa,Pousada Mar e Brisa,"Park privativo PAGO no local + café; Booking R$500; 8,6"
natal_sun,Hotel Natal Ponta Negra Sun,"Park GRÁTIS + piscina; Booking R$442; 9,0"
ponta_negra_flat,PONTA NEGRA FLAT APART,"Park GRÁTIS + piscina; Booking R$310; 8,8 loc 9,7"
swell,Swell Praia Hotel,"Park privativo GRÁTIS; Decolar Pix R$353; Booking nota 8,4"
